osterr;österr
 1 J. ; l. J. 
 1z. ; 12. 
 2z. ; 22. 
 Alsgre;Msgre
 Banky; Banffy
 Coèn; Coën
 Ext. ; Exz. 
 Frein ; Freiin 
 Gemen; Gečmen
 Ger ; Carl 
 Grafer ; Grafen 
 Hofmeister; OHofmeister
 I. M.; l. M.
Liti ;Litić 
 Litié ; Litić 
 Litti; Litić
 OO.; OÖ.
 Ott.; OLt.
 Pri. ; Frl. 
 Scha ; Sofia 
 Selte ; Seite 
 Vortrage ; Vorträge 
 geritter; geritten
Tet S. 4.;
 iberacker; Uiberacker
 iet ; ist 
 ilsgre; Msgre
 imme ; Mme. 
 ir. ; jr. 
 iun,; jun.,
 lelin; Iselin
 nnd; und
 psilanti; Ypsilanti
 quipages; équipages
 roor ; 1901 
 sancen; Usancen
Obristoi;Obrištoi
mit bezeichneten Mit;mit * bezeichneten Mit
(S26,;(§26,
Maftre de;Maître de
Maracabo;Maracaïbo
Rubriker;Rubriken
ergreit;ergreift
östtrr;österr
Herrzog;Herzog
de Parcent;de Parcènt
Persico;Persicò
Seite z; Seite 2
Podébrad;Poděbrad
Erste Hofm;Erste OHofm
Ersten Hofm;Ersten OHofm
Erster Hofm;Erster OHofm
Übelli;Ubelli
 urbi et orbie; »urbi et orbi«
Kukuljevié;Kukuljević
»Haus Rigie:»Haus Rigi«
 ver ; ver
 werder ; werden 
 z. Mai; 2. Mai
 z. Nov.; 2. Nov.
 z. November; 2. November
Ober gespan;Obergespan
Wyndhams Theatre;Wyndham's Theatre
Ballest ;Ballfest 
dannsante;dansante
Reis-ul-Ulema;Reis-ul-Ülema
Dreherrpark;Dreherpark
Etrangeres;Etrangères
 danns ; dans 
»Goldenen Stern ;»Goldenen Stern« 
 intérets ; intérêts 
Rückporto beiliegt,;Rückporto beiliegt.
Causević;Čausević
Piemont;Piemònt
»Württemb. Hof¬;»Württemb. Hof«
 Kontinentalhotel«; »Kontinentalhotel«
 »Hotel Panhans¬;»Hotel Panhans«
 z. d. M.; 2. d. M.
 z5. ; 25. 
 z6. ; 26. 
 z7. ; 27. 
 Öser ; Oser 
(Vigad);(Vigadó)
»Hotel Panhans ;»Hotel Panhans« 
KpsTrGruppenkmdo 119;KpsTrGruppenkmdo 1/19
ArtBezKmdo VIIa;ArtBezKmdo VII/a
0. S. B;O. S. B.
Weiß-Polian;Weiß-Poličan
Sulkowska;Sułkowska
HR. 100,;HR. 10,
»Hotel Panorama.;»Hotel Panorama«.
»Hotel des Palmiers.;»Hotel des Palmiers«.
0sterr;Österr
1. J.;l. J.
1o.;10.
»Hotel Burkert,;»Hotel Burkert«,
»Hotel Burkert.;»Hotel Burkert«.
»Kaiser von Österreich ;»Kaiser von Österreich« 
Caslau;Časlau
9. S. R.;Č. S. R.
Odenburg;Ödenburg
Abbels;Abels
akkred,;akkred.
AbeHauses;AbgHauses
»Villa Dr. Wolf¬;»Villa Dr. Wolf«
Mikes;Mikeš
Ahre;Ähre
Abonny;Abony
Abtissin;Äbtissin
Adele;Adèle
Adorjan;Adorján
Adtie;Adèle
Aglaé;Aglaë
Agypten;Ägypten
Alegasse;Alleegasse
Alfired;Alfred
Algya-Papp;Álgya-Papp
Alichel;Michael
Alikelo;Miklós
Alisionen;Missionen
Cheladministrator;Chefadministrator
Chetadministrator;Chefadministrator
Alitel;Mitgl
Prikopé;Přikopě
Aliterl;Mitgl
Larifarri;Larifari
Alitglieder;Mitglieder
Almasy;Almásy
Almäsy;Almásy
Alseits;allseits
Alteren;Älteren
Alteste;Älteste
Altred;Alfred
Amelie;Amélie
Angchörige;Angehörige
Angoulme;Angoulême
AppGerates;AppGerRates
Aprll;April
ArailAth;Mailáth
Armel;Ärmel
Aroklub;Aëroklub
Arpád;Árpád
Arzte;Ärzte
Ateler;Atelier
Atelien;Atelier
AthenaisAthenaïs;
Atiklds;Miklós
Auftuf;Aufruf
Autnahme;Aufnahme
Außern;Äußern
Außersten;Äußersten
Az Ujsag;Az Ujság
Babié;Babić
Baltest;Ballfest
Balči ;Balčič 
Bankerpositur;Bankexpositur
Baranyavär;Baranyavár
Barlabasevec;Barlabaševec
Baron Balas;Baron Balás
Bavaria Hotel;Bavaria Hôtel
Beesánez;Besánez
Bendana;Bendaña
Bept. ;Sept. 
Beretväs;Beretvás
Bernstorffshön;Bernstorffshöj
Bildte;Bilde
Billé;Bilé
Blazekovic;Blazeković
Blazekovié;Blazeković
Blicklich;glücklich
Bmannel;Emanuel
Borotha Wit ;Borotha-Witt 
Botschat;Botschaft
Braganca;Bragança
Bragang;Bragança
JB. 260;JB. 2/60
Braganga;Bragança
IB. 193;IB. 1/93
Brbprinzen;Erbprinzen
VerpfStaffels 420;VerpfStaffels 4/20
v. Fülör¬;v. Fülöp
Bristoll;Bristol
Ballonabt. 11;Ballonabt. 1/1
Illy¬;Illy
JB. 44;JB. 4/4
SappB. 512;SappB. 5/12
Bräatigam;Bräutigam
C. Stosch;C. Swatosch
 Gold gab ich für Eisen ; »Gold gab ich für Eisen« 
Bräntigams;Bräutigams
Text S. 6.;
C. S. R.;Č. S. R.
C.-Schlesien;Č.-Schlesien
 don Uher; Ödön Uher
CZjžek;Cžjžek
Atelfer;Atelier
Cabanag;Cabanac
v. Riha;v. Ržiha
Strelecki;Strželecki
Capedilista;Capodilista
boeuf en rote;boeuf en croûte
Carlton-Hotel;Carlton-Hôtel
Castolowitz;Častolowitz
Catim;Çatim
Catin ;Çatin 
Cechoslavia;Čechoslavia
de hester;de chester
à aurore;à l'aurore
Cuninghamme;Cuninghame
Cesko;Česko
au Café;au café
Ceské;České
Chateau;Château
Mousse glace ;Mousse glacée 
Chirrurgie;Chirurgie
Bätons;Bâtons
Grafen Akos;Grafen Ákos
Graf Akos;Graf Ákos
printaniere;printanière
Ehrenworte »Edler ;Ehrenworte »Edler« 
Chlumecky;Chlumecký
von der Östen;von der Osten
savoyensche;savoyen'schen
Chofoniewska;Chołoniewska
Yorks Theatre;York's Theatre
»Hotel des Anglais ;»Hotel des Anglais« 
printaniere;printanière
Hermittage;Hermitage
Cete d’Azur;Côte d’Azur
Besangon;Besançon
Cormons;Cormòns
Banó ;Bánó 
Dalys Theatre;Daly's Theatre
7. P.-Abt.;7./P.-Abt.
Tété;Têté
»Hotel Elefant ;»Hotel Elefant« 
Choloniewska;Chołoniewska
Svindermann;Švindermann
»Villa Friedrichsruhe;»Villa Friedrichsruh«
 Drei Lilien¬; »Drei Lilien«
 Hotel Stern«; »Hotel Stern«
»Westminster ;»Westminster« 
»Villa Alpenrose ;»Villa Alpenrose« 
Choloniewski;Chołoniewski
Effendi Prosi¬;Effendi Prosić
Sulkowszczyzna;Sułkowszczyzna
Sudann;Sudan
 Mirabell«; »Mirabell«
3.R-Abt.;3./R-Abt.
Theatre de ;Théâtre de 
Schtritz;Üchtritz
Kaiserinn;Kaiserin
Jéröme;Jérôme
Stamberg;Starnberg
 Weihnachten im Felde ; »Weihnachten im Felde« 
»Villa Payer ;»Villa Payer« 
Uxküll;Üxküll
»Hotel Königsvilla ;»Hotel Königsvilla« 
Chotebor;Chotěboř
»Villa Grüneck¬;»Villa Grüneck«
»Hotel Stephanie ;»Hotel Stephanie« 
v. Dobr.;v. Dobř.
Bozen¬;Bozen
Herr auf Pise ;Herr auf Pišec 
Cromellrad;Cromwellroad
v. Moscon;v. Moscòn
 Urban-Villa«; »Urban-Villa«
Breznitz;Březnitz
Chotbor;Chotěboř
30m-Mörser;30'5cm-Mörser
Berkowitz;Beřkowitz
Koli bei Prag;Košiř bei Prag
sicherrn;sichern
Bogdann;Bogdán
Bihar, Bosnien;Bihač, Bosnien
Zeleński;Želeński
Poularde rtie;Poularde rôtie
Gäteaux;Gâteaux
—ss¬;—ss—
»Hotel Panhans,;»Hotel Panhans«,
»Hotel Panhans.;»Hotel Panhans«.
Alajos;Alájos
FB. 21;FJB. 21
»Hotel Radetzky,;»Hotel Radetzky«,
»Hotel Radetzky.;»Hotel Radetzky«.
»Hotel Quarnero ;»Hotel Quarnero« 
Zeleńska;Želeńska
Murawiew;Murawiëw
Msr.;Msgr.
Msre;Msgre
Sofiaró;Sofiëró
 erschier; erschien
PfSpitekt;PfSpitSekt
Hadik;Hádik
de Quiros;de Quiròs
de Borbon;de Borbón
de Pison;de Pisòn
Geneviéve;Geneviève
y Entrasso;y Entraso
Agnes;Agnès
Lt Col.;LtCol.
Bischoflack, Krain;Bischoflack, OKrain
Palazzo Loredan;Palazzo Loredàn
Vacht ;Yacht 
Vachtclub;Yachtclub
Vacht-Club;Yacht-Club
Aimaro;Aïmaro
Skodopole;Skočdopole
Komteß¬;Komteß
Orkény;Örkény
PfSpitSekt. 411;PfSpitSekt. 4/11
Sulkowski;Sułkowski
Akos ;Ákos 
Highliffe;High-life
Strzalków;Strzałków
Trevisán;Trevisàn
Fai di Bruno;Faà di Bruno
bippique;hippique
SchR. 3V;SchR. 3/V
 pro ecclesia et pontifice«; »pro ecclesia et pontifice«
Said;Saïd
Deregnyo;Deregnyő
Rozdól;Rozdół
Walthann;Walthan
Erzsébet ter;Erzsébet tér
Parsifall;Parsifal
à Impérial;à l'Impérial
Ldesger Präs;LdesgerPräs
GemmRat;GemRat
lestragon;l'estragon
Choloniewska;Chołoniewska
Harrachschen;Harrach'schen
 rties ; rôties 
Herrer ;Herren 
Choloniewski;Chołoniewski
crmee;crême
Compote;Compôte
de Viana;de Viaña
 uartier ; Quartier 
Wodzimirska;Włodzimirska
Wlodzimirska;Włodzimirska
Wodzimirski;Włodzimirski
Wlodzimirski;Włodzimirski
Eörményes;Eőrményes
Zoltan;Zoltán
 Fremde Höfe«; »Fremde Höfe«
Deregnyö;Deregnyő
Hussein;Husseïn
Hilmi¬;Hilmi
Peggassus;Pegasus
Euitable;Equitable
Deregny,;Deregnyő,
»Pension Exquisite ;»Pension Exquisite« 
Coruna;Coruña
J. C. Len;J. C. L—n
deko ration;dekoration
Kriegs dekoration;Kriegsdekoration
Text oben.;
Zenaid ;Zenaïde
Zenaide;Zenaïde
Ollé-L;Ollé'-L
Bohus ;Bohuš 
TextS.8;
Chotélice;Chotělice
Text5. 8.;
di Crot;di Cròt
Lavrić;Lavrič
Cenez;Ceñez
Habana;Habaña
Text 5.7.;
Osolsobi¬;Osolsobič
Castel Crot;Castel Cròt
Jenö;Jenő
undden;und den
Text S. 5.;
Tent S.6.;
Text unter »Text zum Titelbild¬;
Christöphoros;Christóphoros
»Wehrmann im Eisen ;»Wehrmann im Eisen« 
Text unter »Text zum Titelbild«,;
Erzsehettér;Erzsebet-tér
Citroen;Citroën
Cmoll;C-moll
Cossé Brissac;Cossé-Brissac
Cote;Côte
Tert 5. 5.;
TextS.6.;
Text S. 6.;
Tezt S. 7.;
Crassanne;Crassane
Cretl;Gretl
Cengi,;Čengić,
Cengi ;Čengić 
Crme;Crème
»Pension Schlosser ;»Pension Schlosser« 
InfRgts¬;InfRgts
bh. Bat.;bh. IBat.
IBat. 32;IBat. 3/2
Miklavić;Miklavčić
 Bavariahotel«; »Bavariahotel«
Jella;Yella
»Atlantic Palace ;»Atlantic Palace« 
