file,line_facs,left,right,form,score,source,model,decided_on,note
ONB_wsb_19140104.xml,facs_11_tr_1784278149_tl_1,Botschafter,in,split,-17.84,llm,google/gemma-4-31b,2026-08-31,Der maskuline Artikel 'Der spanische' schließt die weibliche Form 'Botschafterin' aus; es folgt die Präposition 'in' mit Ortsangabe 'Wien'.
ONB_wsb_19140104.xml,facs_12_tr_1784278158_tl_17,Maria,Theresia,split,-5.91,llm,google/gemma-4-31b,2026-08-31,"Es handelt sich um eine Aufzählung von Personen (Erzherzog Albrecht, Maria Theresia und Klotilde); 'Maria Theresia' ist ein gebräuchlicher Doppelvorname."
ONB_wsb_19140104.xml,facs_13_tr_1784278137_tl_26,Maria,Pia,split,-14.24,llm,google/gemma-4-31b,2026-08-31,Es handelt sich um den Vornamen der Prinzessin Maria Pia von Savoyen; die Getrenntschreibung ist hier die korrekte Form für diesen Personennamen.
ONB_wsb_19140104.xml,facs_14_tr_1784278135_tl_1,nach,dem,split,-16.18,llm,google/gemma-4-31b,2026-08-31,Hier handelt es sich um die Präposition 'nach' gefolgt vom Artikel 'dem' in der festen Wendung 'Witwe nach dem [Name]'. Eine Zusammenschreibung zur Konjunktion 'nachdem' ist syntaktisch ausgeschlossen.
ONB_wsb_19140104.xml,facs_16_tr_1784278133_tl_2,Kunstdruck,Ausgabe,hyphen,+0.64,llm,google/gemma-4-31b,2026-08-31,Es handelt sich um eine Preisliste für verschiedene Ausgaben; 'Kunstdruck-Ausgabe' ist die fachsprachliche Bezeichnung für eine hochwertige Druckausgabe.
ONB_wsb_19140110.xml,facs_11_tr_1784278131_tl_8,so,wie,join,+11.38,llm,google/gemma-4-31b,2026-08-31,"Es handelt sich um eine Aufzählung von Personen (Chinot de Fromessent sowie die Enkelin), wobei 'sowie' als koordinierende Konjunktion im Sinne von 'und auch' fungiert."
ONB_wsb_19140110.xml,facs_12_tr_1784278160_tl_23,Lucchesi,Palli,split,+1.23,llm,google/gemma-4-31b,2026-08-31,"Es handelt sich um einen Doppelnamen einer Person (Gräfin Beatrice Lucchesi Palli), die in dieser Zeit häufig ohne Bindestrich geschrieben wurden."
ONB_wsb_19140110.xml,facs_15_tr_1784278152_tl_4,Botschafter,in,split,-8.62,llm,google/gemma-4-31b,2026-08-31,"Syntax: Es handelt sich um die Präposition 'in' zur Angabe des Ortes (Paris), nicht um die weibliche Form des Nomens, da der Kontext ('dem türk', 'Khabil Scherif') maskulin ist."
ONB_wsb_19140110.xml,facs_18_tr_1784278135_tl_1,Kunstdruck,Ausgabe,hyphen,+0.64,llm,google/gemma-4-31b,2026-08-31,Es handelt sich um eine Preisliste für verschiedene Ausgaben eines Werkes; 'Kunstdruck-Ausgabe' ist hier als zusammengesetztes Substantiv (Kompositum) zu verstehen.
ONB_wsb_19140110.xml,facs_2_tr_1784278148_tl_8,Franz,Josef,split,-16.83,llm,google/gemma-4-31b,2026-08-31,Es handelt sich um eine Aufzählung von Vornamen eines Erzherzogs; die Getrenntschreibung ist hier die korrekte Syntax.
ONB_wsb_19140110.xml,facs_2_tr_1784278159_tl_1,Franz,Josef,split,-11.56,llm,google/gemma-4-31b,2026-08-31,"Es handelt sich um den Vornamen des Erzherzogs/Kaisers, der im frühen 20. Jahrhundert standardmäßig getrennt geschrieben wurde."
ONB_wsb_19140110.xml,facs_3_r_2_tl_24,wie,der,join,+13.75,llm,google/gemma-4-31b,2026-08-31,Das Wort „wieder“ ist hier als Adverb des Verbs (gelangte) syntaktisch zwingend; eine Trennung in „wie der“ ergibt im Kontext keinen Sinn.
ONB_wsb_19140110.xml,facs_4_tr_1784278132_tl_4,Franz,Josef,split,-14.47,llm,google/gemma-4-31b,2026-08-31,Es handelt sich um den Vornamen des Erbprinzen; die zeittypische Schreibweise für diesen Namen ist die Getrenntschreibung.
ONB_wsb_19140117.xml,facs_15_tr_1784278070_tl_1,Botschafter,in,split,-7.40,llm,google/gemma-4-31b,2026-08-31,"Syntax: 'Botschafter' ist hier die Berufsbezeichnung, gefolgt von der Präposition 'in' und dem Ort 'St Petersburg'."
ONB_wsb_19140117.xml,facs_3_tr_1784278080_tl_5,bei,der,split,-14.23,llm,google/gemma-4-31b,2026-08-31,Syntax: Präposition 'bei' gefolgt vom Artikel 'der' im Dativ Femininum vor dem Nomen 'Vorstellung'.
ONB_wsb_19140117.xml,facs_5_l_3,Franz,Xaver,split,-3.56,llm,google/gemma-4-31b,2026-08-31,"Es handelt sich um den klassischen Doppelvornamen Franz Xaver, der im frühen 20. Jahrhundert üblicherweise ohne Bindestrich getrennt geschrieben wurde."
ONB_wsb_19140124.xml,facs_19_tr_1784278095_tl_3,bei,den,split,-11.56,llm,google/gemma-4-31b,2026-08-31,Präposition 'bei' gefolgt vom Artikel 'den'; syntaktisch eindeutig getrennt.
ONB_wsb_19140124.xml,facs_19_tr_1784278097_tl_7,bei,den,split,-5.70,llm,google/gemma-4-31b,2026-08-31,"Syntaktisch handelt es sich um eine Präposition ('bei') gefolgt von einem Artikel ('den'), die gemeinsam das Objekt 'Lieferungen' einleiten."
ONB_wsb_19140124.xml,facs_20_tr_1784278087_tl_1,Kunstdruck,Ausgabe,hyphen,+0.64,llm,google/gemma-4-31b,2026-08-31,"Es handelt sich um ein zusammengesetztes Substantiv (Kompositum), das in Preislisten dieser Zeit häufig mit Bindestrich zur Hervorhebung der Komponenten geschrieben wurde."
ONB_wsb_19140124.xml,facs_4_l,Kaiser,in,split,-12.27,llm,google/gemma-4-31b,2026-08-31,Die Präposition 'beim' (bei dem) verlangt ein maskulines oder neutrum Nomen; 'Kaiserin' ist feminin und würde 'bei der' erfordern. Zudem folgt die lokale Angabe 'in Schönbrunn'.
ONB_wsb_19140124.xml,facs_9_tr_1784278092_tl_6,an,deren,split,-2.07,llm,google/gemma-4-31b,2026-08-31,"Syntax: Präposition 'an' gefolgt vom Relativpronomen 'deren', das sich auf die 'Freitreppe' bezieht."
ONB_wsb_19140131.xml,facs_10_tr_1784278064_tl_3,Palace,Hotel,split,-10.07,llm,google/gemma-4-31b,2026-08-31,"Es handelt sich um den Eigennamen eines Hotels (Palace Hotel), der im Kontext („in das...“) als zusammengesetzter Eigenname getrennt geschrieben wird."
ONB_wsb_19140131.xml,facs_11_tr_1784278049_tl_3,so,wie,join,+7.03,llm,google/gemma-4-31b,2026-08-31,"Hier handelt es sich um die koordinierende Konjunktion „sowie“ im Sinne von „und auch“, die zwei Personen in einer Aufzählung verbindet."
ONB_wsb_19140131.xml,facs_18_tr_1784278026_tl_15,nach,dem,split,-11.43,llm,google/gemma-4-31b,2026-08-31,"Es handelt sich um die feste Wendung „Witwe nach dem [Name/Titel]“, wobei „nach“ als Präposition und „dem“ als Artikel fungieren, analog zum Beispiel in den Grundsätzen."
ONB_wsb_19140131.xml,facs_3_tr_1784278053_tl_8,in,dem,split,-10.33,llm,google/gemma-4-31b,2026-08-31,"Syntax: Es handelt sich um eine Präposition mit Artikel („in dem“), da die Konjunktion „indem“ grammatikalisch nicht zur folgenden Phrase „zu einer Kapelle“ passt."
ONB_wsb_19140131.xml,facs_7_tr_1784278028_tl_1,Maria,Theresia,split,-20.42,llm,google/gemma-4-31b,2026-08-31,"Es handelt sich um zwei gegebene Vornamen einer Person (Gräfin Maria Theresia Wisniewska), die im Deutschen üblicherweise getrennt geschrieben werden."
ONB_wsb_19140207.xml,facs_16_tr_1784278018_tl_1,Maria,Anna,split,-14.07,llm,google/gemma-4-31b,2026-08-31,"Es handelt sich um einen klassischen Doppelvornamen einer Person (Gräfin Maria Anna), der im frühen 20. Jahrhundert üblicherweise getrennt geschrieben wurde."
ONB_wsb_19140207.xml,facs_20_tr_1784278046_tl_1,Kunstdruck,Ausgabe,hyphen,+0.64,llm,google/gemma-4-31b,2026-08-31,"Es handelt sich um ein zusammengesetztes Substantiv (Kompositum), das in Preislisten dieser Zeit häufig mit Bindestrich zur Hervorhebung der Komponenten geschrieben wurde."
ONB_wsb_19140207.xml,facs_4_tr_1784278039_tl_3,Marie,Antoinette,split,-13.61,llm,google/gemma-4-31b,2026-08-31,"Es handelt sich um einen Doppelvornamen, der im Deutschen üblicherweise getrennt geschrieben wird."
ONB_wsb_19140207.xml,facs_9_tr_1784278047_tl_4,Maria,Theresia,split,-9.94,llm,google/gemma-4-31b,2026-08-31,"Es handelt sich um einen klassischen Doppelnamen (Vorname), der im Deutschen getrennt geschrieben wird."
ONB_wsb_19140214.xml,facs_13_tr_1784278001_tl_9,hier,zu,join,-0.73,llm,google/gemma-4-31b,2026-08-31,"Das Wort 'hierzu' fungiert hier als pronominaladverbiales Bestimmungswort im Sinne von 'für diesen Zweck/Anlass'. Eine Getrenntschreibung ('hier zu') wäre syntaktisch nicht sinnvoll, da kein Infinitiv folgt."
ONB_wsb_19140214.xml,facs_13_tr_1784278012_tl_1,bei,der,split,-17.59,llm,google/gemma-4-31b,2026-08-31,Syntax: Präposition 'bei' gefolgt vom Artikel 'der' vor dem Nomen 'Botschaft'.
