left,right,form,source,model,decided_on,note
10,Papier,period,llm,google/gemma-4-31b,2026-08-25,Der Punkt schließt die Preisangabe ('K 10.') ab; danach beginnt eine neue Information zum verwendeten Papier.
1896,geborene,split,llm,google/gemma-4-31b,2026-08-25,Es handelt sich um eine Datumsangabe gefolgt von einem Partizip ('am ... 1896 geborene'); hier steht im Deutschen kein Bindestrich oder Satzzeichen.
25,jährigen,hyphen,llm,google/gemma-4-31b,2026-08-25,Zahlenadjektive wie '25-jährig' werden im Deutschen zwingend mit Bindestrich geschrieben.
40,jährige,hyphen,llm,google/gemma-4-31b,2026-08-25,Zusammensetzung aus Zahl und Adjektiv ('40-jährige') erfordert im Deutschen einen Bindestrich.
47,Für,period,llm,google/gemma-4-31b,2026-08-25,"Preisangabe (M. 47), nach der ein neuer Satzteil mit 'Für' beginnt; der Punkt dient hier als Trennzeichen in einer Preisliste."
60,jährigen,hyphen,llm,google/gemma-4-31b,2026-08-25,Zusammensetzungen aus Zahl und Adjektiv (z. B. '60-jährig') werden im Deutschen mit Bindestrich geschrieben.
Aba,Fejer,hyphen,llm,google/gemma-4-31b,2026-08-25,"Es handelt sich um die Bezeichnung eines ungarischen Komitats (Aba-Fejér megye), wobei Orts- und Regionsnamen in dieser Zeit oft mit Bindestrich verbunden wurden."
Abend,gesellschaften,join,llm,google/gemma-4-31b,2026-08-25,Zweiter Teil ist kleingeschrieben; es handelt sich um das zusammengesetzte Substantiv 'Abendgesellschaften'.
Abg,Hauses,hyphen,llm,google/gemma-4-31b,2026-08-25,"Es handelt sich um die Abkürzung des Komposikums 'Abgeordnetenhaus'; die Zeitung setzt solche Zusammensetzungen häufig mit Bindestrich, was auch in Textstelle 3 explizit durch das OCR-Zeichen 'Abg.-'"
Ackers,Douglas,hyphen,llm,google/gemma-4-31b,2026-08-25,"Doppelname einer Person (Exzellenz Mrs. Ackers-Douglas), typisch für den gesellschaftlichen Kontext der Zeit."
Addis,Abeba,hyphen,llm,google/gemma-4-31b,2026-08-25,"Bei Ortsnamen, die aus zwei Teilen bestehen, ist in dieser Zeitung (und gemäß der Faustregel für großgeschriebene zweite Teile bei Eigennamen) der Bindestrich sehr wahrscheinlich; dies wird auch durch"
Adels,Deutscher,split,llm,google/gemma-4-31b,2026-08-25,"Es handelt sich um zwei aufeinanderfolgende Genitivattribute im Titel eines Buches („Deutschen Adels Deutscher Art“), die getrennt geschrieben werden."
Aeuße,rungen,join,llm,google/gemma-4-31b,2026-08-25,Der zweite Teil ist kleingeschrieben und das Wort 'Aeußerungen' bildet eine semantische Einheit.
Aix-les,Bains,hyphen,llm,google/gemma-4-31b,2026-08-25,"Es handelt sich um den Ortsnamen Aix-les-Bains, der durchgehend mit Bindestrichen geschrieben wird."
