left,right,left_correct,right_correct,confidence,approved,source,model,decided_on,note
Aben,*,Aben,*,high,,llm,google/gemma-4-31b,2026-09-01,line-end misread: abgeschnitten
Abendstunder,*,Abendstunden,*,high,,llm,google/gemma-4-31b,2026-09-01,confirms Abendstunden: Grammatikalisch korrekt im Plural (Dativ/Akkusativ); typischer OCR-Fehler n -> r am Zeilenende.
Abens,*,Abens,*,high,,llm,google/gemma-4-31b,2026-09-01,line-end misread: Eigenname im Kontext einer Adelsbezeichnung (Gräfin Maria v. Abens).
Abes,*,Abes,*,high,,llm,google/gemma-4-31b,2026-09-01,line-end misread: Gemäß Regel 3 bleiben Eigennamen stehen; die Konstruktion 'von Abes' kennzeichnet das Wort eindeutig als Namen oder Ortsbezeichnung.
Ableber,*,Ableben,*,high,,llm,google/gemma-4-31b,2026-09-01,confirms Ableben: Grammatikalisch ist nach 'dem ... erfolgten' das Substantiv 'Ableben' (Tod) zwingend; 'Ableber' ist ein typischer OCR-Fehler (n -> r).
Adal,*,Adam,*,high,,llm,google/gemma-4-31b,2026-09-01,"confirms Adam: „Adam“ ist ein sehr häufiger Vorname (siehe Korpus), während „Adal“ als eigenständiger Name unüblich ist; passt perfekt in die Aufzählung von Personen."
Adamo,*,Adams,*,high,,llm,google/gemma-4-31b,2026-09-01,"confirms Adams: In Fraktur-Schriften wird das runde 's' am Wortende oft als 'o' gelesen; zudem ist 'Adams' ein im Korpus häufiger Name, während 'Adamo' nicht vorkommt."
Adan,*,Adam,*,high,,llm,google/gemma-4-31b,2026-09-01,confirms Adam: Häufiger Name; 'Adan' ist im Korpus nicht vorhanden und ein typischer OCR-Fehler für 'Adam' am Zeilenende.
Adelheic,*,Adelheid,*,high,,llm,google/gemma-4-31b,2026-09-01,confirms Adelheid: Typischer OCR-Fehler bei einem sehr häufigen weiblichen Vornamen im Kontext von Adelstiteln.
Aden,*,Aden,*,high,,llm,google/gemma-4-31b,2026-09-01,line-end review: Kontext bezieht sich auf eine Reise durch den Suezkanal und das Rote Meer; Aden ist ein bekannter Hafenort dort.
