verdict,margin_band,token_band,has_next,observed,proposed,margin,context,file,page,line_facs,subtype,transkribus_link
n,>=16,long,1,altem,alter,18.4,es ihnen aber als [altem] Freund,ONB_wsb_19210219.xml,11,facs_11_tr_1739921041_tl_3,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=11
y,>=16,long,1,langer,langen,17.4,"Arnold Rr. v. Kleemann, im 24. Lebensjahre einem [langer] schweren",ONB_wsb_19350922.xml,11,facs_11_r_2_tl_3,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=11
y,>=16,long,1,großer,großen,17.6,Fröhlich und ein Duett aus dem Ritz-Grill fanden [großer] Beifall,ONB_wsb_19380123.xml,9,facs_9_tr_1766143767_tl_10,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=9
n,>=16,long,1,neuem,neuen,18.4,"freude&quot;, mit teilweise [neuem] Programm",ONB_wsb_19270501.xml,17,facs_17_tr_1752356012_tl_10,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=17
y,>=16,long,1,beider,beiden,16.1,"dann den Grafen, der der jüngere der [beider] Söhne",ONB_wsb_19210416.xml,5,facs_5_tr_1748027683_tl_30,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=5
y,>=16,long,1,zweiter,zweiten,17.2,"v. Romberg am 26. v. M. ihrem vierten Kinde, dem [zweiter] Söhnchen",ONB_wsb_19261017.xml,4,facs_4_tr_1752222488_tl_3,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=4
n,>=16,long,1,findet,finden,17.8,"nicht weniger schön, weil sie an mir keinen Gefallen [findet] Ich",ONB_wsb_19240720.xml,10,facs_10_r_29_tl_10,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=10
y,>=16,long,1,ungarischer,ungarischen,19.1,Gesandtenpaar gab kürzlich zu Ehren der [ungarischer] Kolonie,ONB_wsb_19350519.xml,14,facs_14_tr_1764797477_tl_5,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=14
y,>=16,long,1,wirklicher,wirklichen,17.3,"das Stück, dessen Probleme Ausschnitte aus dem [wirklicher] Leben",ONB_wsb_19331105.xml,12,facs_12_tr_1762177706_tl_12,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=12
y,>=16,long,1,geistiger,geistigen,20.3,"bomirska geb. Gräfin Zamoyska, die durch ihre [geistiger] Eigenschaften",ONB_wsb_19221104.xml,8,facs_8_tr_1748188295_tl_2,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=8
y,>=16,long,1,internationaler,internationalen,18.8,schritten der [internationaler] Politik,ONB_wsb_19271127.xml,17,facs_17_tr_1752356129_tl_6,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=17
n,>=16,long,1,vollendeter,vollendeten,24.5,Bruder brillierte in feinsinnigster und technisch [vollendeter] Wiedergabe,ONB_wsb_19140328.xml,14,facs_14_tr_1784277872_tl_9,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=14
y,>=16,long,1,allgemeiner,allgemeinen,16.2,müßten die Aktien viel höher notieren. Die [allgemeiner] wirtschaftlichen,ONB_wsb_19201127.xml,7,facs_7_tr_1738871936_tl_3,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=7
y,>=16,long,1,österreichischer,österreichischen,18.2,"Vicomte de Thieusies und Gemahlin, den [österreichischer] Ges",ONB_wsb_19340225.xml,12,facs_12_tr_1763317694_tl_10,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=12
y,>=16,long,1,beider,beiden,20.7,die man auf unserer heutigen Titelseite mit ihren [beider] Kindern,ONB_wsb_19160506.xml,2,facs_2_tr_1780432317_tl_2,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=2
