verdict,margin_band,token_band,has_next,observed,proposed,margin,context,file,page,line_facs,subtype,transkribus_link
y,>=16,long,1,Deutsches,Deutschen,18.3,großen Sieges in Westgalizien an den [Deutsches] Kaiser,ONB_wsb_19150522.xml,2,facs_2_tr_1781988780_tl_2,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=2
y,>=16,long,1,beider,beiden,20.3,Regimente. Auch trauern um Freiherrn Rudolf seine [beider] Schwestern,ONB_wsb_19150403.xml,10,facs_10_tr_1781988934_tl_11,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=10
y,>=16,long,1,Allerhöchster,Allerhöchsten,16.2,"Familie empfangen hatte, begaben Sich die [Allerhöchster] Herrschaften",ONB_wsb_19180824.xml,3,facs_3_tr_1769553953_tl_5,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=3
y,>=16,long,1,beider,beiden,20.9,"guten Wirt vom alten Schlag, sondern durch seine [beider] Söhne",ONB_wsb_19230324.xml,8,facs_8_tr_1750157376_tl_10,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=8
n,>=16,long,1,Frederik,Frederic,16.3,Dem amerik. Botschafter in Wien Mr. [Frederik] Courtland,ONB_wsb_19160826.xml,8,facs_8_tr_1780431992_tl_1,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=8
y,>=16,long,1,älterer,älteren,16.4,"der Bronz. MilVerdMedaille am weißroten Bande, des [älterer] Sohnes",ONB_wsb_19160304.xml,7,facs_7_tr_1780432479_tl_3,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=7
y,>=16,long,1,Großer,Großen,22.8,"von Preußen, im [Großer] Hauptquartiere",ONB_wsb_19180622.xml,3,facs_3_tr_1769553682_tl_9,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=3
n,>=16,long,1,Isabelle,Isabella,19.3,Gräfin Maria [Isabelle] Friedek,ONB_wsb_19350113.xml,7,facs_7_tr_1764797282_tl_15,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=7
y,>=16,long,1,einziger,einzigen,17.8,"Reiterrgt., dem [einziger] Sohne",ONB_wsb_19220121.xml,5,facs_5_tr_1748188062_tl_10,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=5
y,>=16,long,1,einer,einen,16.2,ländischen Vereine Ruhlands und Guteborns brachten [einer] Fackelzug,ONB_wsb_19280930.xml,8,facs_8_tr_1753391183_tl_9,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=8
n,>=16,long,1,findet,finden,17.8,"nicht weniger schön, weil sie an mir keinen Gefallen [findet] Ich",ONB_wsb_19240720.xml,10,facs_10_r_29_tl_10,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=10
y,>=16,long,1,neuer,neuen,18.0,"begaben sich von dort nach London, wo sie ihre [neuer] Appartements",ONB_wsb_19331217.xml,9,facs_9_tr_1762177751_tl_7,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=9
n,>=16,long,1,Rosy,Rosa,17.2,"Durchlaucht Erbprinzessin zu Salm-Salm, Prinzessin [Rosy] z",ONB_wsb_19251129.xml,8,facs_8_tr_1751545382_tl_34,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=8
y,>=16,long,1,erster,ersten,21.5,v. Fudakowska wurden durch die Geburt ihres [erster] Kindes,ONB_wsb_19350630.xml,3,facs_3_tr_1764797510_tl_2,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=3
y,>=16,long,1,erster,ersten,17.8,den stilvollen Sälen im [erster] Stockwerke,ONB_wsb_19140124.xml,9,facs_9_r_tl_9,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=9
y,>=16,long,1,bunter,bunten,16.6,"heerenden Zauberstab alles Leben vernichtet, die [bunter] Blumen",ONB_wsb_19200501.xml,8,facs_8_tr_1738849796_tl_16,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=8
y,>=16,long,1,größter,größten,17.8,"offensive, die in siebzehn Tagen zur Befreiung des [größter] Teiles",ONB_wsb_19170811.xml,12,facs_12_tr_1779048935_tl_2,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=12
